Observed cones colored
YELLOW | x:2.2116646932778496 y:2.2244940374610684
YELLOW | x:-4.269511376526751 y:9.067487845253732
YELLOW | x:-8.291017684333038 y:12.299492075616762
YELLOW | x:-2.1140750908114962 y:7.381435415388453
YELLOW | x:-10.444649868202719 y:14.178113216732584
YELLOW | x:1.3422292580281574 y:3.9144094731158443
YELLOW | x:-6.511706226063283 y:10.814779395435892
YELLOW | x:0.055003540127008824 y:5.668404653245848

BLUE | x:-2.29852719405543 y:3.3738168651181315
BLUE | x:-2.4050395220443725 y:5.382268264467162
BLUE | x:-2.4790008405769983 y:8.383694555932921
BLUE | x:-2.610700209596931 y:14.11366793305474
BLUE | x:-2.5133255898878097 y:10.771035391663156
YELLOW | x:2.7080438262298587 y:3.455523507768555
YELLOW | x:2.5634166270568848 y:6.354419305498046
YELLOW | x:2.4631115386957805 y:14.05532545504435
YELLOW | x:2.492643156655121 y:11.493543381069742
YELLOW | x:2.491306708746356 y:8.605587037729247
YELLOW | x:2.394859460003662 y:16.5577638890094

BLUE | x:-2.3052542179748534 y:4.107905199701232
BLUE | x:-2.295830759398651 y:7.45433302181427
BLUE | x:-2.276714650072879 y:9.806237317553943
BLUE | x:-2.2457845638121285 y:12.02254924916405
BLUE | x:-2.1945781787162146 y:14.373863254561664
BLUE | x:-2.391614668560537 y:16.575166458462324
YELLOW | x:2.6922998696640015 y:4.547661831552428
YELLOW | x:2.792028079934406 y:11.615828298106434
YELLOW | x:2.7420870790953322 y:9.618941524202269
YELLOW | x:2.7036063436079236 y:13.835711982423707
YELLOW | x:2.850285725799688 y:16.404529884035036
YELLOW | x:2.7850128283177695 y:7.191826973929647
YELLOW | x:2.6800026367182412 y:18.08394773262207

BLUE | x:-1.8613529107325963 y:4.171330355749598
BLUE | x:-12.179190012805176 y:15.741860940629882
BLUE | x:-8.89383120238037 y:15.45328982132141
BLUE | x:-6.499198592695108 y:14.921024237647298
BLUE | x:-3.069636728689914 y:11.318039186704135
BLUE | x:-2.067369320697385 y:8.134308012045919
BLUE | x:-1.895618769519043 y:6.3695949659493
BLUE | x:-3.587042964490764 y:12.48624545194173
BLUE | x:-4.677861157052231 y:13.871047610615339
BLUE | x:-10.580203863970947 y:15.56278490481242
BLUE | x:-2.4398058962566953 y:9.797112963806594
YELLOW | x:2.991958943016815 y:3.1623576279229355
YELLOW | x:-2.1130145254987927 y:18.683890787669
YELLOW | x:0.5245726376846314 y:17.073506633727682
YELLOW | x:1.8414779275730133 y:14.700102498704833
YELLOW | x:2.718371547269313 y:11.680836771502738
YELLOW | x:3.0535659885670103 y:9.80066441761442
YELLOW | x:3.3352587491348267 y:5.736699138655903
YELLOW | x:3.2513813789912787 y:7.442726609758106
YELLOW | x:2.3074712592437745 y:13.070576265031738

BLUE | x:-3.021201638231332 y:3.651467728901832
BLUE | x:-12.100939286741129 y:8.217670143883733
BLUE | x:-10.481928329659016 y:8.043718467726949
BLUE | x:-8.78191502192866 y:7.854894382332407
BLUE | x:-6.407758552280125 y:7.344977382486612
BLUE | x:-3.549304919434102 y:4.849922198628031
YELLOW | x:2.7253421972269694 y:3.8580293124662273
YELLOW | x:-13.07831336358439 y:13.111011420264486
YELLOW | x:-14.156962367884827 y:13.233837082559509
YELLOW | x:-9.809987351290893 y:12.78562796371643
YELLOW | x:-11.663354966036987 y:12.972912862474367
