x,y,z
0.099690,7.339970,-2.718915
0.100404,7.397250,-2.725449
0.101219,7.462086,-2.734544
0.101422,7.481406,-2.728290
0.101677,7.504961,-2.722037
0.017271,7.085226,-2.693636
0.017335,7.116110,-2.691161
0.017398,7.147007,-2.688586
0.017799,7.316525,-2.737788
0.017736,7.295055,-2.715238
0.017872,7.356054,-2.723322
0.017881,7.364553,-2.711852
0.017891,7.373035,-2.700359
0.018082,7.456666,-2.716227
0.018082,7.461399,-2.703199
0.018100,7.473166,-2.694178
0.018137,7.492922,-2.686521
-0.008269,6.313143,-2.663470
0.018228,7.535294,-2.686821
0.069709,7.034008,-2.703548
-0.008399,6.422062,-2.683032
0.070153,7.083552,-2.708399
0.070449,7.118180,-2.707398
-0.008442,6.464661,-2.674343
0.071189,7.197719,-2.723269
0.072077,7.292305,-2.744516
-0.008466,6.492468,-2.659333
0.072706,7.360769,-2.755614
0.072706,7.365571,-2.742753
-0.008563,6.575854,-2.666700
0.073409,7.441615,-2.756279
0.073335,7.438912,-2.740511
0.073557,7.466221,-2.735770
0.073594,7.474746,-2.724095
0.073964,7.517097,-2.724664
0.129770,7.530630,-2.696808
-0.009017,6.976639,-2.675298
0.043883,7.135243,-2.651214
-0.009190,7.115844,-2.714431
0.044160,7.184886,-2.655386
-0.009195,7.124315,-2.703417
0.044114,7.182004,-2.640073
-0.009321,7.226325,-2.727696
0.044621,7.269252,-2.657741
0.044921,7.322752,-2.662810
0.044898,7.323627,-2.648665
0.045244,7.384699,-2.656176
0.045290,7.396861,-2.645967
0.045959,7.510760,-2.671923
0.045959,7.515415,-2.658800
0.045820,7.496948,-2.639012
0.046005,7.531763,-2.636445
0.194537,9.110206,-3.797723
0.101932,7.528516,-2.715710
0.102186,7.552067,-2.709319
0.101983,7.541720,-2.690748
0.103358,7.648202,-2.713630
0.103256,7.645387,-2.697604
0.103969,7.702925,-2.702786
0.103664,7.684975,-2.681421
0.104988,7.787894,-2.702081
0.104835,7.780786,-2.685929
0.105803,7.857342,-2.697006
0.105650,7.850685,-2.679402
0.106924,7.950043,-2.697818
0.107586,8.004008,-2.700549
0.107790,8.023882,-2.691653
0.107637,8.017189,-2.673838
0.108758,8.105368,-2.687523
0.108860,8.117647,-2.675866
0.110184,8.221144,-2.694021
0.018264,7.555056,-2.679003
0.110490,8.248186,-2.688530
0.018301,7.574813,-2.671124
0.111610,8.336579,-2.701243
0.018492,7.658734,-2.685685
0.111967,8.367934,-2.695261
0.018456,7.648306,-2.667036
0.112680,8.425957,-2.697715
0.018456,7.652949,-2.653683
0.114056,8.533558,-2.715753
0.018574,7.706733,-2.657262
0.115023,8.610744,-2.723763
0.018556,7.703794,-2.641202
0.115023,8.615489,-2.708719
0.018793,7.806833,-2.661298
0.116399,8.723283,-2.725876
0.018902,7.856929,-2.663066
0.116501,8.735670,-2.713007
0.018920,7.869150,-2.651894
0.019130,7.961004,-2.667372
0.019139,7.969446,-2.654727
0.019249,8.019173,-2.657293
0.074075,7.533134,-2.715600
0.019276,8.035199,-2.647037
0.074260,7.556692,-2.709187
0.130095,7.553699,-2.691678
0.019312,8.055049,-2.637878
0.074482,7.583578,-2.705274
0.130938,7.607429,-2.695753
0.074704,7.610909,-2.700047
0.131133,7.623442,-2.686449
0.075000,7.645790,-2.697395
0.131068,7.624347,-2.671806
0.075629,7.714653,-2.706547
0.132171,7.693208,-2.680858
0.075740,7.730809,-2.696704
0.132106,7.694209,-2.665792
0.076184,7.780854,-2.698925
0.132950,7.748010,-2.669284
0.076221,7.789338,-2.686635
0.133793,7.801848,-2.672596
0.077072,7.881040,-2.702870
0.134507,7.848150,-2.673149
0.076850,7.863034,-2.681354
0.134312,7.841443,-2.655588
0.076702,7.852550,-2.662489
0.135545,7.918082,-2.666147
0.077701,7.959525,-2.683268
0.136259,7.964446,-2.666279
0.078034,7.998332,-2.680801
0.136324,7.972886,-2.653627
0.078626,8.063717,-2.687058
0.136324,7.977509,-2.639697
0.079218,8.129148,-2.693095
0.137686,8.061891,-2.652004
0.079736,8.187028,-2.696410
0.139438,8.169147,-2.671482
0.079847,8.203143,-2.685795
0.140347,8.227066,-2.674475
0.046374,7.596799,-2.644324
0.079921,8.215427,-2.673938
0.140931,8.265976,-2.671169
0.046351,7.597625,-2.629742
0.079847,8.212476,-2.657121
0.141125,8.282052,-2.660397
0.046558,7.636247,-2.628183
0.081438,8.380837,-2.695432
0.142812,8.385746,-2.677556
0.046466,7.625688,-2.609660
0.081401,8.381722,-2.679571
0.143331,8.420440,-2.674053
0.047019,7.721116,-2.627261
0.082030,8.450725,-2.686995
0.143331,8.425097,-2.659341
0.047250,7.763582,-2.626589
0.082104,8.463034,-2.674640
0.145473,8.555660,-2.684129
0.047296,7.775742,-2.615575
0.083325,8.593620,-2.699410
0.147549,8.682517,-2.707278
0.047342,7.787882,-2.604537
0.084509,8.720498,-2.722552
0.148263,8.729252,-2.705142
0.047642,7.841762,-2.607336
0.084620,8.736699,-2.710871
0.047803,7.872889,-2.602423
0.047988,7.907823,-2.598658
0.048011,7.916152,-2.586083
0.048634,8.023375,-2.605610
0.049026,8.092624,-2.612481
0.049049,8.101000,-2.599509
0.049302,8.147448,-2.598726
0.049671,8.212981,-2.603832
0.049787,8.236591,-2.595493
0.048481,8.275023,-2.593309
0.048727,8.321548,-2.591936
0.049330,8.429228,-2.609345
0.202419,9.465476,-3.984692
0.202498,9.476110,-3.969698
0.164808,9.358978,-3.950696
-0.103198,8.454773,-2.606392
-0.103291,8.466960,-2.593963
-0.041608,8.475305,-2.609381
-0.105251,8.632184,-2.628097
-0.042058,8.571650,-2.622661
-0.104784,8.598475,-2.601445
-0.042152,8.595348,-2.613515
-0.106044,8.706426,-2.617514
-0.042490,8.668822,-2.619323
-0.106184,8.722483,-2.605738
-0.043166,8.811301,-2.645586
-0.107910,8.868892,-2.632611
-0.043147,8.812075,-2.629048
-0.107677,8.854296,-2.611459
-0.043091,8.805148,-2.610241
-0.108703,8.942827,-2.622295
-0.043616,8.917130,-2.626502
-0.108983,8.970449,-2.613334
-0.043991,8.998038,-2.634913
-0.108610,8.944263,-2.588765
-0.044160,9.037192,-2.629249
-0.110523,9.106375,-2.618456
-0.044836,9.180107,-2.653445
-0.110709,9.126318,-2.606940
-0.044836,9.184729,-2.637406
-0.111642,9.207813,-2.612832
-0.045286,9.281636,-2.647693
-0.112995,9.324005,-2.628214
-0.045249,9.278549,-2.629296
-0.112949,9.324730,-2.610845
-0.046037,9.444842,-2.658606
-0.112716,9.310009,-2.589196
-0.045943,9.430211,-2.636719
-0.114535,9.464873,-2.614476
-0.046056,9.457923,-2.626678
-0.046525,9.558895,-2.636745
-0.074997,8.582802,-2.640133
-0.075532,8.648602,-2.643846
-0.076434,8.756540,-2.660127
-0.076400,8.757344,-2.643673
-0.077102,8.842402,-2.652506
-0.012730,8.808743,-2.709345
-0.077102,8.847022,-2.637057
-0.012879,8.916745,-2.725524
-0.077302,8.874623,-2.628428
-0.012884,8.925315,-2.711120
-0.078104,8.971292,-2.640023
-0.013006,9.014283,-2.720956
-0.078304,8.998925,-2.631083
-0.013039,9.042010,-2.712101
-0.079240,9.111059,-2.646603
-0.013122,9.104233,-2.713441
-0.079707,9.169469,-2.646212
-0.013216,9.174160,-2.716843
-0.080008,9.208682,-2.640113
-0.013216,9.178892,-2.700815
-0.081511,9.386388,-2.673327
-0.013376,9.294934,-2.717328
-0.081211,9.356406,-2.647127
-0.013343,9.276620,-2.694394
-0.081311,9.372567,-2.634027
-0.013570,9.438883,-2.723654
-0.082012,9.458057,-2.640236
-0.013669,9.512838,-2.727005
-0.082413,9.508906,-2.636537
-0.013735,9.563750,-2.723531
-0.085091,9.620995,-2.651348
-0.013746,9.576188,-2.709013
-0.049785,9.662272,-2.042890
-0.049986,9.704980,-2.034189
-0.050027,9.716352,-2.018862
-0.050027,9.719863,-2.001887
-0.050007,9.719425,-1.984106
-0.084749,9.721921,-2.068980
-0.015446,9.695915,-2.134058
-0.084715,9.721606,-2.051170
-0.015446,9.699628,-2.117119
-0.084511,9.701685,-2.029273
-0.015446,9.703311,-2.100174
-0.084511,9.705214,-2.012324
-0.015415,9.687409,-2.079025
-0.084511,9.708714,-1.995369
-0.015409,9.687114,-2.061268
-0.084477,9.708264,-1.977609
-0.015427,9.702440,-2.046822
-0.015458,9.725578,-2.033966
-0.015452,9.725196,-2.016176
-0.015421,9.709112,-1.995161
-0.015409,9.704744,-1.976602
-0.047388,9.740944,-2.668661
-0.047144,9.695416,-2.637991
