# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
963.0; 33.942; 23.98; -0.00245; -0.17514; 0.40443; 0.01318
966.0; 34.067; 22.56; 0.00068; -0.21379; 0.47148; -0.00403
969.0; 34.198; 21.58; 0.00593; -0.24115; 0.51923; -0.01794
972.0; 34.331; 21.29; 0.01349; -0.25270; 0.57095; -0.02399
975.0; 34.462; 20.99; 0.02315; -0.22885; 0.66410; -0.01855
978.0; 34.592; 23.92; 0.01936; -0.45269; 0.76915; -0.02163
981.0; 34.708; 24.28; 0.03668; -0.22937; 0.82037; -0.07004
984.0; 34.823; 24.12; 0.03518; -0.26849; 0.70592; -0.13370
987.0; 34.935; 20.58; 0.10942; -0.89884; 0.56464; -0.17033
990.0; 35.046; 20.27; 0.10883; -0.92178; 0.48239; -0.14694
993.0; 35.157; 20.05; 0.10962; -0.94488; 0.60100; -0.08577
996.0; 35.273; 21.43; 0.10884; -0.95435; 0.87798; -0.06136
999.0; 35.393; 22.62; 0.09991; -0.90222; 1.05234; -0.05112
1002.0; 35.514; 17.54; 0.10163; -0.70171; 1.14707; -0.03189
1005.0; 35.673; 21.60; 0.04095; -0.27832; 1.02729; -0.01082
1008.0; 35.801; 17.17; 0.02173; -0.39907; 1.01077; -0.01815
1011.0; 35.966; 19.68; 0.02125; -0.35781; 0.96459; -0.00074
1014.0; 36.106; 23.28; 0.01710; -0.32438; 0.96755; 0.00135
1017.0; 36.226; 27.58; 0.01077; -0.28892; 0.96108; -0.00968
1020.0; 36.330; 30.52; 0.00557; -0.22374; 0.90638; -0.02639
1023.0; 36.427; 31.41; 0.00177; -0.14562; 0.79251; -0.03966
1026.0; 36.524; 31.28; -0.00080; -0.09766; 0.63806; -0.04627
1029.0; 36.620; 31.01; 0.00110; -0.05442; 0.46979; -0.04715
1032.0; 36.718; 30.81; 0.00247; -0.02345; 0.31296; -0.04447
1035.0; 36.816; 30.68; -0.00431; 0.00330; 0.17674; -0.03952
1038.0; 36.915; 30.61; -0.00296; 0.01898; 0.06383; -0.03356
1041.0; 37.014; 30.56; -0.00239; 0.02736; -0.02701; -0.02760
1044.0; 37.113; 30.52; -0.00219; 0.03071; -0.09879; -0.02229
1047.0; 37.212; 30.49; -0.00216; 0.03096; -0.15574; -0.01798
1050.0; 37.311; 30.46; -0.00217; 0.03064; -0.20209; -0.01466
1053.0; 37.410; 30.41; -0.00222; 0.02984; -0.24139; -0.01219
1056.0; 37.509; 30.35; -0.00229; 0.02908; -0.27601; -0.01029
1059.0; 37.609; 30.26; -0.00237; 0.02882; -0.30680; -0.00845
1062.0; 37.709; 30.13; -0.00246; 0.02948; -0.33308; -0.00620
1065.0; 37.809; 29.93; -0.00258; 0.03159; -0.35290; -0.00310
1068.0; 37.911; 29.65; -0.00277; 0.03579; -0.36279; 0.00140
1071.0; 38.013; 29.31; -0.00325; 0.04334; -0.35645; 0.00805
1074.0; 38.116; 28.94; -0.00408; 0.04673; -0.32454; 0.01716
1077.0; 38.221; 28.57; -0.01282; -0.21391; -0.28529; 0.01897
1080.0; 38.327; 28.14; -0.02304; -0.23824; -0.29713; 0.00118
1083.0; 38.434; 28.63; -0.00576; 0.06638; -0.31027; -0.00557
1086.0; 38.540; 29.21; 0.00023; -0.07205; -0.31842; -0.00344
